param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,0.001,0.037,-0.069,0.076,0.001,0.001,3083.0,3084.0,1.0
age_c,0.002,0.001,0.0,0.004,0.0,0.0,3867.0,3098.0,1.0
industry,0.036,0.039,-0.044,0.109,0.001,0.001,2684.0,2818.0,1.0
industry,-0.144,0.088,-0.316,0.032,0.001,0.001,4447.0,3036.0,1.0
industry,-0.067,0.045,-0.148,0.03,0.001,0.001,2820.0,2678.0,1.0
industry,0.03,0.091,-0.16,0.2,0.001,0.002,5784.0,2872.0,1.0
industry,-0.078,0.216,-0.509,0.338,0.003,0.003,5493.0,3387.0,1.0
industry,0.078,0.042,-0.011,0.154,0.001,0.001,3483.0,2967.0,1.0
industry,-0.077,0.071,-0.22,0.06,0.001,0.001,3549.0,2806.0,1.0
log_week,-0.003,0.036,-0.071,0.07,0.0,0.001,6186.0,3132.0,1.0
