k,param,base_var,mean,sd,hdi_2.5%,hdi_97.5%,r_hat,ess_bulk,ess_tail
4,Intercept,Intercept,0.016,0.033,-0.052,0.076,1.0,3187.0,3470.0
4,age_c,age_c,0.002,0.001,0.0,0.004,1.0,4617.0,3745.0
4,industry[Athlete],industry,0.01,0.032,-0.05,0.073,1.0,3059.0,3851.0
4,industry[Model],industry,-0.16,0.076,-0.316,-0.015,1.0,4725.0,3619.0
4,industry[Musician],industry,-0.072,0.037,-0.146,-0.001,1.0,3721.0,3571.0
4,industry[Other],industry,-0.021,0.073,-0.169,0.112,1.0,5365.0,2952.0
4,industry[Politician],industry,-0.016,0.172,-0.353,0.307,1.0,6570.0,3762.0
4,industry[Reality TV Star],industry,0.055,0.035,-0.012,0.124,1.0,3517.0,3767.0
4,industry[TV/Host],industry,-0.08,0.06,-0.19,0.042,1.0,4979.0,3749.0
4,log_week,log_week,-0.003,0.025,-0.05,0.046,1.0,7056.0,3806.0
