k,param,q2.5,q50,q97.5,p_gt_0
4,Intercept,-0.04575,0.0574999999999999,0.1316999999999999,0.7333333333333333
4,age_c,-0.006275,-0.003,0.001,0.0666666666666666
4,industry[Athlete],-0.190475,-0.0395,0.1461749999999999,0.3666666666666666
4,industry[Model],-0.642025,-0.2975,0.0585249999999997,0.1
4,industry[Musician],-0.2458749999999999,-0.098,0.0335499999999999,0.2
4,industry[Other],-0.4911,-0.035,0.3267249999999999,0.4
4,industry[Politician],-1.067125,-0.0284999999999999,0.4951249999999997,0.5
4,industry[Reality TV Star],-0.199325,-0.0125,0.1132499999999999,0.4666666666666667
4,industry[TV/Host],-0.47765,-0.175,0.1166749999999999,0.1
4,log_week,-0.0242,-0.0104999999999999,-0.002175,0.0
