param,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,base_var
Intercept,0.013,0.046,-0.076,0.102,0.001,0.001,3597.0,3693.0,1.0,Intercept
age_c,0.003,0.001,0.0,0.006,0.0,0.0,5301.0,3943.0,1.0,age_c
industry[Athlete],0.003,0.051,-0.093,0.108,0.001,0.001,3751.0,3914.0,1.0,industry
industry[Model],-0.065,0.109,-0.276,0.146,0.002,0.002,4699.0,3729.0,1.0,industry
industry[Musician],-0.103,0.058,-0.215,0.011,0.001,0.001,4750.0,3677.0,1.0,industry
industry[Other],-0.037,0.117,-0.26,0.199,0.002,0.002,5795.0,3698.0,1.0,industry
industry[Politician],0.207,0.274,-0.32,0.758,0.003,0.004,6480.0,3546.0,1.0,industry
industry[Reality TV Star],0.084,0.056,-0.028,0.191,0.001,0.001,4286.0,3585.0,1.0,industry
industry[TV/Host],-0.157,0.088,-0.336,0.014,0.001,0.001,5514.0,4207.0,1.0,industry
log_week,-0.005,0.058,-0.117,0.108,0.001,0.001,5625.0,3590.0,1.0,log_week
